grade,window_days,n_signals,win_rate,mean_ret,median_ret,mean_mfe,mean_mae
B+,1,9,55.56%,-0.08%,0.08%,2.52%,5.37%
B+,3,9,66.67%,-0.14%,0.37%,2.52%,5.37%
B+,5,9,44.44%,-0.45%,-0.04%,2.52%,5.37%
B+,10,9,44.44%,-1.09%,-0.06%,2.52%,5.37%
B+,20,9,44.44%,-2.80%,-2.17%,2.52%,5.37%
Watchlist,1,1,0.00%,-0.64%,-0.64%,-0.38%,16.54%
Watchlist,3,1,0.00%,-2.28%,-2.28%,-0.38%,16.54%
Watchlist,5,1,0.00%,-3.98%,-3.98%,-0.38%,16.54%
Watchlist,10,1,0.00%,-8.02%,-8.02%,-0.38%,16.54%
Watchlist,20,1,0.00%,-16.11%,-16.11%,-0.38%,16.54%
